"No.","Time","Source","Destination","Protocol","Length","Info"
"3088","341.705251000","23.106.50.39","192.168.0.106","TCP","70","443  >  55447 [SYN, ACK] Seq=0 Ack=1 Win=7300 Len=0 MSS=1440 SACK_PERM WS=8"
"3099","341.707670300","13.250.150.27","192.168.0.106","TCP","70","443  >  55450 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1440 SACK_PERM WS=256"
"3103","341.708019600","52.220.82.56","192.168.0.106","TCP","70","443  >  55451 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1440 SACK_PERM WS=256"
"3135","341.739895200","182.161.73.175","192.168.0.106","TCP","70","443  >  55452 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=1024"
"3145","341.743839500","192.168.0.106","52.68.60.156","TCP","66","55453  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3164","341.751139700","35.213.7.90","192.168.0.106","TCP","70","443  >  55439 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"3212","341.774436200","124.146.153.154","192.168.0.106","TCP","70","443  >  55442 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1440 SACK_PERM WS=512"
"3284","341.839737800","192.168.0.106","18.142.28.17","TCP","66","55454  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3290","341.854192400","52.68.60.156","192.168.0.106","TCP","70","443  >  55453 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1440 SACK_PERM WS=256"
"3298","341.859779200","172.179.183.128","192.168.0.106","TCP","66","443  >  55444 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1440 SACK_PERM WS=512"
"3320","341.872946900","192.168.0.106","162.247.243.29","TCP","66","55455  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3323","341.875462700","192.168.0.106","162.247.243.29","TCP","66","55456  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3333","341.878605900","192.168.0.106","162.247.241.14","TCP","66","55457  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3335","341.879141700","192.168.0.106","162.247.241.14","TCP","66","55458  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3336","341.881114800","192.168.0.106","162.247.241.14","TCP","66","55459  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3337","341.886057700","18.142.28.17","192.168.0.106","TCP","70","443  >  55454 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1440 SACK_PERM WS=256"
"3342","341.889619800","192.168.0.106","103.43.90.53","TCP","66","55460  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3349","341.894461700","162.247.241.14","192.168.0.106","TCP","66","443  >  55457 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=8192"
"3351","341.894978700","162.247.241.14","192.168.0.106","TCP","66","443  >  55458 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=8192"
"3353","341.895512900","162.247.241.14","192.168.0.106","TCP","66","443  >  55459 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=8192"
"3355","341.895816600","162.247.243.29","192.168.0.106","TCP","70","443  >  55455 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=512"
"3358","341.897576400","162.247.243.29","192.168.0.106","TCP","70","443  >  55456 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=512"
